record_id,city,transit_node_id,node_type,node_latitude,node_longitude,trip_date,time_of_day,day_type,weather_condition,distance_to_final_destination_km,avg_wait_time_min,transit_headway_min,crowding_index,congestion_index_node,last_mile_fare_inr,walk_time_min,alt_mode_availability_score,app_cab_wait_time_min,safety_perception_score,last_mile_infra_score,previous_negative_experience,commuter_age_group,commuter_gender,commuter_income_bracket,trip_purpose,trip_satisfaction_score,mode_chosen_last_mile,switched_to_private_vehicle
TRIP_000001,Pune,NODE_0080,Metro Station,18.65466,73.889,2025-09-01,Morning Peak (7-10),Weekday,Extreme Heat,1.15,17.31,6.98,0.786,0.446,44.6,14.3,2.65,6.53,6.12,0.631,0,25-34,Other,Low,Shopping/Errand,5.56,E-Rickshaw,0
TRIP_000002,Delhi,NODE_0089,Metro Station,28.63988,77.06635,2025-02-05,Morning Peak (7-10),Weekday,Clear,4.68,10.47,9.86,0.644,0.373,86.8,48.4,0.54,9.07,7.29,0.938,0,35-44,Male,Lower-Middle,Education,7.67,Private Vehicle (Own),1
TRIP_000003,Delhi,NODE_0086,Metro Station,28.64578,77.26297,2025-12-07,Evening Peak (17-20),Weekday,Light Rain,2.6,13.25,10.09,0.59,0.353,43.9,22.3,6.49,4.68,8.91,0.759,0,35-44,Male,Upper-Middle,Medical,7.15,Feeder Bus,0
TRIP_000004,Bengaluru,NODE_0010,Bus Terminal,12.94776,77.70951,2025-07-26,Morning Peak (7-10),Weekday,Cloudy,4.86,16.65,9.37,0.709,0.672,80.8,39.0,5.23,6.8,8.23,0.857,0,25-34,Female,Upper-Middle,Education,7.64,Auto-Rickshaw,0
TRIP_000005,Delhi,NODE_0085,Metro Station,28.70457,77.13123,2025-03-25,Midday (10-16),Weekday,Light Rain,1.52,11.99,8.18,0.666,0.625,27.8,15.3,5.79,5.05,7.31,0.554,0,35-44,Male,Middle,Medical,5.22,E-Rickshaw,0
TRIP_000006,Bengaluru,NODE_0088,Bus Terminal,12.97982,77.62346,2025-07-16,Morning Peak (7-10),Weekday,Clear,0.45,17.47,9.37,0.334,0.472,30.5,3.8,6.63,9.08,6.63,0.803,0,25-34,Female,Upper-Middle,Work Commute,6.97,E-Rickshaw,0
TRIP_000007,Hyderabad,NODE_0023,BRT Stop,17.3231,78.56409,2025-11-07,Evening Peak (17-20),Weekday,Light Rain,0.36,12.43,10.49,0.58,0.615,35.7,4.7,6.73,,6.82,0.405,1,25-34,Male,Middle,Work Commute,6.55,App-based Cab/Bike,0
TRIP_000008,Mumbai,NODE_0102,Bus Terminal,19.20766,72.76354,2025-03-05,Morning Peak (7-10),Weekday,Heavy Rain,1.12,10.18,7.96,0.681,0.361,42.5,9.5,5.41,,6.87,0.875,0,35-44,Male,Lower-Middle,Medical,5.69,Walk,0
TRIP_000009,Bengaluru,NODE_0063,Bus Terminal,12.98082,77.44163,2025-07-11,Late Night (23-5),Weekday,Light Rain,4.79,9.25,8.56,0.575,0.626,61.4,55.2,5.71,5.21,6.7,0.622,1,35-44,Male,Middle,Work Commute,6.09,Private Vehicle (Own),1
TRIP_000010,Bengaluru,NODE_0057,Metro Station,13.11387,77.48291,2025-08-07,Morning Peak (7-10),Weekday,Clear,1.67,15.5,9.28,0.684,0.59,44.0,13.2,8.19,5.04,9.77,0.851,0,35-44,Female,Middle,Work Commute,5.88,Feeder Bus,0
TRIP_000011,Mumbai,NODE_0087,Metro Station,19.16132,73.01406,2025-10-23,Morning Peak (7-10),Weekend,Clear,3.26,13.32,4.61,0.645,0.539,63.8,34.7,1.15,6.64,6.16,0.41,0,45-54,Male,Middle,Work Commute,5.63,Private Vehicle (Own),1
TRIP_000012,Bengaluru,NODE_0062,Railway Station,12.86037,77.45085,2025-07-27,Morning Peak (7-10),Weekend,Light Rain,3.17,10.35,14.64,0.653,0.231,54.3,36.2,3.03,4.76,5.42,0.455,0,25-34,Male,Low,Shopping/Errand,7.63,E-Rickshaw,0
TRIP_000013,Bengaluru,NODE_0066,Bus Terminal,12.95884,77.68044,2025-09-26,Early Morning (5-7),Weekday,Cloudy,0.3,1.0,17.86,0.321,0.055,19.1,3.1,6.17,,3.65,0.327,0,55+,Male,Middle,Leisure,6.74,E-Rickshaw,0
TRIP_000014,Bengaluru,NODE_0038,Bus Terminal,12.97136,77.52861,2025-10-10,Midday (10-16),Weekday,Fog,3.44,10.14,12.02,0.39,0.401,60.1,49.2,4.21,9.6,3.8,0.2,1,55+,Female,Middle,Medical,8.12,Walk,0
TRIP_000015,Delhi,NODE_0112,Metro Station,28.50139,77.19225,2025-11-22,Morning Peak (7-10),Weekday,Cloudy,3.35,8.78,9.89,0.736,0.303,69.4,29.6,2.75,5.17,6.18,0.761,0,25-34,Female,Lower-Middle,Work Commute,6.62,Private Vehicle (Own),1
